stock_id,stock_name,industry,custom_tag,revenue_share,model_score
2345,智邦,通信網路業,常規產業,0.2832,2345
2344,華邦電,半導體業,常規產業,0.1236,2344
2342,茂矽,半導體業,常規產業,0.1219,2342
2340,台亞,半導體業,常規產業,0.1202,2340
2338,光罩,半導體業,常規產業,0.1184,2338
2337,旺宏,半導體業,常規產業,0.1176,2337
2332,友訊,通信網路業,常規產業,0.2578,2332
2331,精英,電腦及週邊設備業,常規產業,0.2841,2331
2330,台積電,半導體業,常規產業,0.1116,2330
2329,華泰,半導體業,常規產業,0.1107,2329
2328,廣宇,電子零組件業,常規產業,0.0517,2328
2327,國巨*,電子零組件業,常規產業,0.0513,2327
2324,仁寶,電腦及週邊設備業,常規產業,0.269,2324
2323,中環,光電業,常規產業,1.0,2323
2321,東訊,通信網路業,常規產業,0.2363,2321
2317,鴻海,其他電子業,常規產業,0.5109,2317
2316,楠梓電,電子零組件業,常規產業,0.0468,2316
2314,台揚,通信網路業,常規產業,0.2227,2314
2313,華通,電子零組件業,常規產業,0.0456,2313
2312,金寶,其他電子業,常規產業,0.4891,2312
2308,台達電,電子零組件業,常規產業,0.0436,2308
2305,全友,電腦及週邊設備業,常規產業,0.2278,2305
2303,聯電,半導體業,常規產業,0.0884,2303
2302,麗正,半導體業,常規產業,0.0876,2302
2301,光寶科,電腦及週邊設備業,常規產業,0.2191,2301
2258,鴻華先進-創,橡膠工業,常規產業,0.0252,2258
2254,巨鎧精密-創,橡膠工業,常規產業,0.0235,2254
2250,IKKA-KY,橡膠工業,常規產業,0.0218,2250
2248,華勝-KY,橡膠工業,常規產業,0.0209,2248
2247,汎德永業,橡膠工業,常規產業,0.0204,2247
2243,宏旭-KY,橡膠工業,常規產業,0.0187,2243
2241,艾姆勒,橡膠工業,常規產業,0.0178,2241
2239,英利-KY,橡膠工業,常規產業,0.017,2239
2236,百達-KY,橡膠工業,常規產業,0.0157,2236
2233,宇隆,橡膠工業,常規產業,0.0144,2233
2231,為升,橡膠工業,常規產業,0.0135,2231
2228,劍麟,橡膠工業,常規產業,0.0122,2228
2227,裕日車,橡膠工業,常規產業,0.0118,2227
2211,長榮鋼,造紙工業,常規產業,0.0038,2211
2208,台船,電機機械,常規產業,0.0869,2208
2207,和泰車,橡膠工業,常規產業,0.083,2207
2206,三陽工業,橡膠工業,常規產業,0.0826,2206
2204,中華,橡膠工業,常規產業,0.0817,2204
2201,裕隆,橡膠工業,常規產業,0.0804,2201
2115,六暉-KY,橡膠工業,常規產業,0.0431,2115
2114,鑫永銓,鋼鐵工業,常規產業,0.109,2114
2109,華豐,鋼鐵工業,常規產業,0.1034,2109
2108,南帝,鋼鐵工業,常規產業,0.1023,2108
2107,厚生,鋼鐵工業,常規產業,0.1012,2107
2106,建大,鋼鐵工業,常規產業,0.1001,2106
2105,正新,鋼鐵工業,常規產業,0.099,2105
2104,國際中橡,鋼鐵工業,常規產業,0.0979,2104
2103,台橡,鋼鐵工業,常規產業,0.0968,2103
2102,泰豐,鋼鐵工業,常規產業,0.0957,2102
2101,南港,鋼鐵工業,常規產業,0.0946,2101
2072,世紀風電,35,常規產業,1.0,2072
2069,運錩,造紙工業,常規產業,0.0181,2069
2062,橋椿,38,常規產業,1.0,2062
2059,川湖,電子零組件業,常規產業,0.0174,2059
2049,上銀,電機機械,常規產業,0.015,2049
2038,海光,造紙工業,常規產業,0.0076,2038
2034,允強,造紙工業,常規產業,0.0062,2034
2033,佳大,造紙工業,常規產業,0.0059,2033
2032,新鋼,造紙工業,常規產業,0.0055,2032
2031,新光鋼,造紙工業,常規產業,0.0052,2031
2030,彰源,造紙工業,常規產業,0.0048,2030
2029,盛餘,造紙工業,常規產業,0.0045,2029
2028,威致,造紙工業,常規產業,0.0042,2028
2027,大成鋼,造紙工業,常規產業,0.0038,2027
2025,千興,造紙工業,常規產業,0.0031,2025
2024,志聯,造紙工業,常規產業,0.0654,2024
2023,燁輝,造紙工業,常規產業,0.0651,2023
2022,聚亨,造紙工業,常規產業,0.0647,2022
2020,美亞,造紙工業,常規產業,0.0641,2020
2017,官田鋼,造紙工業,常規產業,0.063,2017
2015,豐興,造紙工業,常規產業,0.0623,2015
2014,中鴻,造紙工業,常規產業,0.062,2014
2013,中鋼構,造紙工業,常規產業,0.0617,2013
2012,春雨,造紙工業,常規產業,0.0613,2012
2010,春源,造紙工業,常規產業,0.0606,2010
2009,第一銅,造紙工業,常規產業,0.0603,2009
2008,高興昌,造紙工業,常規產業,0.06,2008
2007,燁興,造紙工業,常規產業,0.0596,2007
2006,東和鋼鐵,造紙工業,常規產業,0.0593,2006
2002,中鋼,造紙工業,常規產業,0.0579,2002
1909,榮成,玻璃陶瓷,常規產業,0.1742,1909
1907,永豐餘,玻璃陶瓷,常規產業,0.1697,1907
1906,寶隆,玻璃陶瓷,常規產業,0.1674,1906
1905,華紙,玻璃陶瓷,常規產業,0.1652,1905
1904,正隆,玻璃陶瓷,常規產業,0.1629,1904
1903,士紙,玻璃陶瓷,常規產業,0.1607,1903
1817,凱撒衛,生技醫療業,常規產業,0.0812,1817
1810,和成,生技醫療業,常規產業,0.0778,1810
1809,中釉,生技醫療業,常規產業,0.0773,1809
1808,潤隆,電子零組件業,常規產業,0.0647,1808
1806,冠軍,生技醫療業,常規產業,0.0759,1806
1805,寶徠,電子零組件業,常規產業,0.0635,1805
1802,台玻,生技醫療業,常規產業,0.074,1802
1795,美時,生技醫療業,常規產業,0.0706,1795
1789,神隆,生技醫療業,常規產業,0.0678,1789
1786,科妍,生技醫療業,常規產業,0.0663,1786
1783,和康生,生技醫療業,常規產業,0.0649,1783
1776,展宇,化學工業,常規產業,0.0828,1776
1773,勝一,化學工業,常規產業,0.0809,1773
1762,中化生,生技醫療業,常規產業,0.0548,1762
1760,寶齡富錦,生技醫療業,常規產業,0.0539,1760
1752,南光,生技醫療業,常規產業,0.05,1752
1737,臺鹽,食品工業,常規產業,0.033,1737
1736,喬山,37,常規產業,0.2354,1736
1735,日勝化,化學工業,常規產業,0.0564,1735
1734,杏輝,生技醫療業,常規產業,0.0414,1734
1733,五鼎,生技醫療業,常規產業,0.0409,1733
1732,毛寶,化學工業,常規產業,0.0545,1732
1731,美吾華,生技醫療業,常規產業,0.04,1731
1730,花仙子,化學工業,常規產業,0.0532,1730
1727,中華化,化學工業,常規產業,0.0512,1727
1726,永記,化學工業,常規產業,0.0506,1726
1725,元禎,化學工業,常規產業,0.0499,1725
1723,中碳,化學工業,常規產業,0.0486,1723
1722,台肥,化學工業,常規產業,0.048,1722
1721,三晃,化學工業,常規產業,0.0474,1721
1720,生達,生技醫療業,常規產業,0.0347,1720
1718,中纖,化學工業,常規產業,0.0454,1718
1717,長興,化學工業,常規產業,0.0448,1717
1714,和桐,化學工業,常規產業,0.0428,1714
1713,國化,化學工業,常規產業,0.0422,1713
1712,興農,化學工業,常規產業,0.0415,1712
1711,永光,化學工業,常規產業,0.0409,1711
1710,東聯,化學工業,常規產業,0.0403,1710
1709,和益,化學工業,常規產業,0.0396,1709
1708,東鹼,化學工業,常規產業,0.039,1708
1707,葡萄王,生技醫療業,常規產業,0.0285,1707
1702,南僑,食品工業,常規產業,0.0201,1702
1626,艾美特-KY,電器電纜,常規產業,0.0777,1626
1623,大東電,電器電纜,常規產業,0.0762,1623
1618,合機,電器電纜,常規產業,0.0739,1618
1617,榮星,電器電纜,常規產業,0.0734,1617
1616,億泰,電器電纜,常規產業,0.0729,1616
1615,大山,電器電纜,常規產業,0.0724,1615
1614,三洋電,電器電纜,常規產業,0.0719,1614
1612,宏泰,電器電纜,常規產業,0.071,1612
1611,中電,電器電纜,常規產業,0.0705,1611
1609,大亞,電器電纜,常規產業,0.0696,1609
1608,華榮,電器電纜,常規產業,0.0691,1608
1605,華新,電器電纜,常規產業,0.0676,1605
1604,聲寶,電器電纜,常規產業,0.0672,1604
1603,華電,電器電纜,常規產業,0.0667,1603
1598,岱宇,37,常規產業,0.3582,1598
1597,直得,電機機械,常規產業,0.0604,1597
1590,亞德客-KY,電機機械,常規產業,0.0572,1590
1589,永冠-KY,電機機械,常規產業,0.0567,1589
1587,吉茂,橡膠工業,常規產業,0.0536,1587
1583,程泰,電機機械,常規產業,0.054,1583
1582,信錦,電子零組件業,常規產業,0.0478,1582
1568,倉佑,橡膠工業,常規產業,0.0453,1568
1563,巧新,橡膠工業,常規產業,0.0432,1563
1560,中砂,電機機械,常規產業,0.0436,1560
1558,伸興,電機機械,常規產業,0.0427,1558
1541,錩泰,電機機械,常規產業,0.035,1541
1540,喬福,電機機械,常規產業,0.0346,1540
1539,巨庭,電機機械,常規產業,0.0341,1539
1538,正峰,電機機械,常規產業,0.0337,1538
1537,廣隆,電機機械,常規產業,0.0332,1537
1536,和大,橡膠工業,常規產業,0.0315,1536
1535,中宇,電機機械,常規產業,0.0323,1535
1533,車王電,橡膠工業,常規產業,0.0302,1533
1532,勤美,電機機械,常規產業,0.031,1532
1531,高林股,電機機械,常規產業,0.0305,1531
1530,亞崴,電機機械,常規產業,0.0301,1530
1529,樂事綠能,電機機械,常規產業,0.0296,1529
1528,恩德,電機機械,常規產業,0.0292,1528
1527,鑽全,電機機械,常規產業,0.0287,1527
1526,日馳,電機機械,常規產業,0.0283,1526
1525,江申,橡膠工業,常規產業,0.0267,1525
1524,耿鼎,橡膠工業,常規產業,0.0262,1524
1522,堤維西,橡膠工業,常規產業,0.0254,1522
1521,大億,橡膠工業,常規產業,0.0249,1521
1519,華城,電機機械,常規產業,0.0251,1519
1517,利奇,電機機械,常規產業,0.0242,1517
1516,川飛,20,常規產業,0.0721,1516
1515,力山,電機機械,常規產業,0.0233,1515
1514,亞力,電機機械,常規產業,0.0228,1514
1513,中興電,電機機械,常規產業,0.0224,1513
1512,瑞利,橡膠工業,常規產業,0.021,1512
1506,正道,電機機械,常規產業,0.0192,1506
1504,東元,電機機械,常規產業,0.0183,1504
1503,士電,電機機械,常規產業,0.0179,1503
1477,聚陽,紡織纖維,常規產業,0.0026,1477
1476,儒鴻,紡織纖維,常規產業,0.0024,1476
1475,業旺,紡織纖維,常規產業,0.0022,1475
1474,弘裕,紡織纖維,常規產業,0.002,1474
1473,台南,紡織纖維,常規產業,0.0019,1473
1472,三洋實業,電子零組件業,常規產業,0.0776,1472
1471,首利,電子零組件業,常規產業,0.0772,1471
1470,大統新創,紡織纖維,常規產業,0.0372,1470
1468,昶和,紡織纖維,常規產業,0.0369,1468
1467,南緯,紡織纖維,常規產業,0.0367,1467
1466,聚隆,紡織纖維,常規產業,0.0365,1466
1465,偉全,紡織纖維,常規產業,0.0363,1465
1464,得力,紡織纖維,常規產業,0.0361,1464
1463,強盛新,紡織纖維,常規產業,0.0359,1463
1460,宏遠,紡織纖維,常規產業,0.0353,1460
1459,聯發,紡織纖維,常規產業,0.0351,1459
1457,宜進,紡織纖維,常規產業,0.0347,1457
1456,怡華,電子零組件業,常規產業,0.0712,1456
1455,集盛,紡織纖維,常規產業,0.0343,1455
1454,台富,紡織纖維,常規產業,0.0341,1454
1453,大將,電子零組件業,常規產業,0.07,1453
1452,宏益,紡織纖維,常規產業,0.0337,1452
1451,年興,紡織纖維,常規產業,0.0335,1451
1449,佳和,紡織纖維,常規產業,0.0331,1449
1447,力鵬,紡織纖維,常規產業,0.0327,1447
1446,宏和,紡織纖維,常規產業,0.0326,1446
1445,大宇,紡織纖維,常規產業,0.0324,1445
1444,力麗,紡織纖維,常規產業,0.0322,1444
1443,立益物流,20,常規產業,0.2246,1443
1442,名軒,電子零組件業,常規產業,0.0655,1442
1441,大東,紡織纖維,常規產業,0.0316,1441
1440,南紡,紡織纖維,常規產業,0.0314,1440
1439,雋揚,電子零組件業,常規產業,0.0643,1439
1438,三地開發,電子零組件業,常規產業,0.0639,1438
1437,勤益控,20,常規產業,0.2163,1437
1436,華友聯,電子零組件業,常規產業,0.0631,1436
1435,中福,20,常規產業,0.2136,1435
1434,福懋,紡織纖維,常規產業,0.0302,1434
1432,大魯閣,37,常規產業,0.4064,1432
1423,利華,紡織纖維,常規產業,0.0281,1423
1419,新紡,紡織纖維,常規產業,0.0273,1419
1418,東華,紡織纖維,常規產業,0.0271,1418
1417,嘉裕,紡織纖維,常規產業,0.0269,1417
1416,廣豐,20,常規產業,0.1875,1416
1414,東和,紡織纖維,常規產業,0.0263,1414
1413,宏洲,紡織纖維,常規產業,0.0261,1413
1410,南染,紡織纖維,常規產業,0.0255,1410
1409,新纖,紡織纖維,常規產業,0.0253,1409
1402,遠東新,紡織纖維,常規產業,0.024,1402
1342,八貫,20,常規產業,0.0859,1342
1341,富林-KY,塑料工業,常規產業,0.0822,1341
1340,勝悅-KY,塑料工業,常規產業,0.0808,1340
1339,昭輝,橡膠工業,常規產業,0.0259,1339
1338,廣華-KY,橡膠工業,常規產業,0.0254,1338
1337,再生-KY,塑料工業,常規產業,0.0768,1337
1326,台化,塑料工業,常規產業,0.0621,1326
1325,恆大,塑料工業,常規產業,0.0608,1325
1324,地球,塑料工業,常規產業,0.0595,1324
1323,永裕,塑料工業,常規產業,0.0581,1323
1321,大洋,塑料工業,常規產業,0.0555,1321
1319,東陽,橡膠工業,常規產業,0.0172,1319
1316,上曜,電子零組件業,常規產業,0.0147,1316
1315,達新,塑料工業,常規產業,0.0475,1315
1314,中石化,塑料工業,常規產業,0.0461,1314
1313,聯成,塑料工業,常規產業,0.0448,1313
1312,國喬,塑料工業,常規產業,0.0435,1312
1310,台苯,塑料工業,常規產業,0.0408,1310
1309,台達化,塑料工業,常規產業,0.0395,1309
1308,亞聚,塑料工業,常規產業,0.0381,1308
